Name,MASTER
https://ngoheroes.gr/company/%ce%b4%ce%b5%cf%83%ce%bc%cf%8c%cf%82-%ce%bc%ce%b7-%ce%ba%ce%b5%cf%81%ce%b4%ce%bf%cf%83%ce%ba%ce%bf%cf%80%ce%b9%ce%ba%cf%8c-%cf%83%cf%89%ce%bc%ce%b1%cf%84%ce%b5%ce%af%ce%bf-desmos-non-profit-foundation/,Δεσμός
https://ngoheroes.gr/company/%ce%b4%ce%b9%ce%b1%ce%b2%ce%ac%ce%b6%cf%89-%ce%b3%ce%b9%ce%b1-%cf%84%ce%bf%cf%85%cf%82-%ce%ac%ce%bb%ce%bb%ce%bf%cf%85%cf%82/,Διαβάζω για τους άλλους
https://ngoheroes.gr/company/%ce%b4%ce%b9%ce%bf%ce%b3%ce%b5%ce%bd%ce%b7%cf%83-%ce%bc%ce%ba%ce%bf/,Διογένης (Σχεδία)
https://ngoheroes.gr/company/%ce%b5%ce%ba%cf%80%ce%b1%ce%b9%ce%b4%ce%b5%cf%85%cf%84%ce%b9%ce%ba%ce%ae-%cf%80%ce%bb%ce%b1%cf%84%cf%86%cf%8c%cf%81%ce%bc%ce%b1-%ce%ba%ce%b1%ce%bb%ce%bf/,Εκπαιδευτική Πλατφόρμα ΚΑΛΟ
https://ngoheroes.gr/company/%ce%b5%ce%bb%ce%b5%cf%80%ce%b1%cf%80/,"ΕΛΕΠΑΠ,ΕΛΕΠΑΠ Θεσσαλονίκη"
https://ngoheroes.gr/company/%ce%b5%ce%bb%ce%bb%ce%b7%ce%bd%ce%b9%ce%ba%ce%b7-%ce%b5%cf%84%ce%b1%ce%b9%cf%81%ce%b5%ce%b9%ce%b1-%ce%b3%ce%b9%ce%b1-%cf%84%ce%b7%ce%bd-%ce%b9%ce%bd%cf%89%ce%b4%ce%b7-%ce%ba%cf%85%cf%83%cf%84%ce%b9%ce%ba%ce%b7-%ce%bd%ce%bf%cf%83%ce%bf/,Πανελλήνιος Σύλλογος Κυστικής Ίνωσης
https://ngoheroes.gr/company/%ce%b5%ce%bb%ce%bb%ce%b7%ce%bd%ce%b9%ce%ba%ce%b7-%ce%b5%cf%84%ce%b1%ce%b9%cf%81%ce%b5%ce%b9%ce%b1-%cf%80%ce%b5%cf%81%ce%b9%ce%b2%ce%ac%ce%bb%ce%bb%ce%bf%ce%bd%cf%84%ce%bf%cf%82-%ce%ba%ce%b1%ce%b9-%cf%80%ce%bf%ce%bb%ce%b9%cf%84%ce%b9%cf%83%ce%bc%ce%bf%cf%8d/,Ελληνική Εταιρεία Περιβάλλοντος και Πολιτισμού
https://ngoheroes.gr/company/%ce%b5%ce%bb%ce%bb%ce%b7%ce%bd%ce%b9%ce%ba%ce%bf-%cf%86%ce%bf%cf%81%ce%bf%cf%85%ce%bc-%cf%80%cf%81%ce%bf%cf%83%cf%86%cf%85%ce%b3%cf%89%ce%bd/,Ελληνικό Φόρουμ Προσφύγων
https://ngoheroes.gr/company/%ce%b5%ce%bb%ce%bb%ce%b7%ce%bd%ce%b9%ce%ba%cf%8c-%ce%af%ce%b4%cf%81%cf%85%ce%bc%ce%b1-%ce%b3%ce%b1%cf%83%cf%84%cf%81%ce%b5%ce%bd%cf%84%ce%b5%cf%81%ce%bf%ce%bb%ce%bf%ce%b3%ce%af%ce%b1%cf%82-%ce%ba%ce%b1%ce%b9-%ce%b4%ce%b9%ce%b1%cf%84%cf%81%ce%bf%cf%86%ce%ae%cf%82/,Ελληνικό Ίδρυμα Γαστρεντερολογίας και Διατροφής
https://ngoheroes.gr/company/%CE%B5%CE%BB%CE%BB%CE%B7%CE%BD%CE%B9%CE%BA%CF%8C-%CF%83%CF%85%CE%BC%CE%B2%CE%BF%CF%8D%CE%BB%CE%B9%CE%BF-%CE%B3%CE%B9%CE%B1-%CF%84%CE%BF%CF%85%CF%82-%CF%80%CF%81%CF%8C%CF%83%CF%86%CF%85%CE%B3%CE%B5%CF%82/,Ελληνικό Συμβούλιο για τους Πρόσφυγες
