Name,NGOs
https://www.activecitizensfund.gr/foreas/paidika-choria-sos-ellados/,Παιδικά Χωριά SOS Ελλάδος
https://www.activecitizensfund.gr/foreas/paidiko-festival-kinimatografoy-athinas/,Παιδικό Φεστιβάλ Κινηματογράφου Αθήνας
https://www.activecitizensfund.gr/foreas/syllogos-atomon-me-kinitika-provlimata-kai-filon-n-rodopis-perpato/,Περπατώ - Σύλλογος Ατόμων Με Κινητικά Προβλήματα Και Φίλων Ν. Ροδόπης
https://www.activecitizensfund.gr/foreas/syllogos-pnoi-gia-to-paidi-kai-tin-oikogeneia/,Πνοή για το παιδί και την οικογένεια
https://www.activecitizensfund.gr/foreas/syllogos-asthenon-ipatos-ellados-promitheas/,Προμηθέας - Σύλλογος Ασθενών Ήπατος Ελλάδος
https://www.activecitizensfund.gr/foreas/prosopo-amke-2/,Πρόσωπο ΑΜΚΕ
https://www.activecitizensfund.gr/foreas/protovoylia-gia-ti-dimosiografia/,Πρωτοβουλία για τη Δημοσιογραφία
https://www.activecitizensfund.gr/foreas/roma-choris-synora/,Ρομά Χωρίς Σύνορα
https://www.activecitizensfund.gr/foreas/simeio-gia-ti-meleti-kai-tin-antimetopisi-tis-akrodexias/,Σημείο για τη Μελέτη και την Αντιμετώπιση της Ακροδεξιάς
https://www.activecitizensfund.gr/foreas/soroptimistikos-omilos-voloy-thetis/,Σοροπτιμιστικός όμιλος Βόλου Θέτις
https://www.activecitizensfund.gr/foreas/epistimonikos-syndesmos-prosarmosmenon-drastiriotiton-victor-artant-niki/,Σύλλογος ”ΝΙΚΗ” – Victor Artant
https://www.activecitizensfund.gr/foreas/syllogos-goneon-kidemonon-kai-filon-atomon-me-aytismo-n-larisas/,Σύλλογος Γονέων Κηδεμόνων και Φίλων Ατόμων με Αυτισμό Ν. Λάρισας
https://www.activecitizensfund.gr/foreas/syllogos-goneon-kidemonon-kai-filon-atomon-me-aytismo-n-rethymnoy/,Σύλλογος Γονέων Κηδεμόνων και Φίλων Ατόμων με Αυτισμό Ν. Ρεθύμνου
https://www.activecitizensfund.gr/foreas/syllogos-gynaikon-me-karkino-mastoy-alma-zois-n-acha-as/,Σύλλογος Γυναικών με καρκίνο μαστού «ΑΛΜΑ ΖΩΗΣ» Ν. Αχαΐας
https://www.activecitizensfund.gr/foreas/syllogos-merimnas-amea-noitikis-ysterisis-n-rodopis-quot-agioi-theodoroi-quot/,Σύλλογος Μέριμνας ΑμεΑ νοητικής υστέρησης Ν. Ροδόπης “Άγιοι Θεόδωροι”
https://www.activecitizensfund.gr/foreas/syllogos-merimnis-anilikon-kai-neon/,Σύλλογος Μερίμνης Ανηλίκων και Νέων
https://www.activecitizensfund.gr/foreas/syllogos-ton-senegalezon-stin-athina/,Σύλλογος των Σενεγαλέζων στην Αθήνα
https://www.activecitizensfund.gr/foreas/syndesmos-melon-gynaikeion-somateion-irakleioy-kai-nomoy-irakleioy/,Σύνδεσμος Μελών Γυναικείων Σωματείων Ηρακλείου και Νομού Ηρακλείου
https://www.activecitizensfund.gr/foreas/syntechnia-toy-gelioy/,Συντεχνία του Γέλιου
https://www.activecitizensfund.gr/foreas/somateio-ypostirixis-diemfylikon/,Σωματείο Υποστήριξης Διεμφυλικών
https://www.activecitizensfund.gr/foreas/generation-2-0/,"""Τζενερεΐσον 2.0- Δεύτερη Γενιά/ Ινστιτούτο για τα Δικαιώματα, την ισότητα και την Ετερότητα – Ιδι έτερο"""
https://www.activecitizensfund.gr/foreas/syllogos-goneon-kidemonon-kai-filon-amea-to-ergastiri/,Το Εργαστήρι
https://www.activecitizensfund.gr/foreas/tri-ena-politismoy/,ΤΡΙ.ΕΝΑ πολιτισμού
https://www.activecitizensfund.gr/foreas/faros-toy-kosmoy/,Φάρος του Κόσμου
https://www.activecitizensfund.gr/foreas/filanthropiko-somateio-oi-filoi-toy-paidioy/,Φιλανθρωπικό Σωματείο «ΟΙ ΦΙΛΟΙ ΤΟΥ ΠΑΙΔΙΟΥ»
